Flat_Price,BHK,Location,Total_Sq.ft
0.3,2.0,Abdalpur,900.0
0.3,2.0,Abdalpur,900.0
0.33,2.0,Adarsha Nagar,1200.0
0.33,2.0,Adarsha Nagar,1200.0
0.5,4.0,Agarpara,3200.0
0.4,2.0,Agarpara,1000.0
0.5,4.0,Agarpara,3200.0
0.4,2.0,Agarpara,1000.0
0.55,3.0,Agarpara,1600.0
0.55,3.0,Agarpara,1600.0
0.8,4.0,Agarpara,1500.0
0.48,4.0,Agarpara,1200.0
0.8,4.0,Agarpara,1500.0
0.48,4.0,Agarpara,1200.0
0.46,5.0,Agarpara,1660.0
0.46,5.0,Agarpara,1660.0
0.95,3.0,Agarpara,3000.0
0.95,3.0,Agarpara,3000.0
0.95,3.0,Agarpara,3000.0
0.38,3.0,Agarpara,1250.0
0.38,3.0,Agarpara,1250.0
0.5,3.0,Agarpara,1440.0
1.0,5.0,Agarpara,1500.0
0.5,3.0,Agarpara,1440.0
1.0,5.0,Agarpara,1500.0
1.0,5.0,Agarpara,1500.0
1.0,5.0,Agarpara,1500.0
0.45,3.0,Agarpara,3600.0
0.45,3.0,Agarpara,3600.0
0.55,5.0,Agarpara,1500.0
0.55,5.0,Agarpara,1500.0
0.75,5.0,Agarpara,2500.0
0.75,5.0,Agarpara,5000.0
0.75,5.0,Agarpara,2500.0
0.75,5.0,Agarpara,5000.0
0.85,4.0,Airport,2270.0
0.85,4.0,Airport,2270.0
0.85,3.0,Airport,1000.0
0.85,3.0,Airport,1000.0
50.6,10.0,Alipore,15000.0
50.6,10.0,Alipore,15000.0
38.0,8.0,Alipore,15000.0
8.5,8.0,Alipore,8000.0
14.0,10.0,Alipore,15000.0
38.0,8.0,Alipore,15000.0
8.5,8.0,Alipore,8000.0
14.0,10.0,Alipore,15000.0
2.8,7.0,Alipore,3300.0
0.35,2.0,Alipore,1000.0
0.35,2.0,Alipore,1000.0
0.8,5.0,Alipore,1800.0
0.8,5.0,Alipore,1800.0
2.4,6.0,Alipore,4200.0
2.4,6.0,Alipore,4200.0
8.25,6.0,Alipore,10000.0
8.25,6.0,Alipore,10000.0
0.45,2.0,Alipore,750.0
0.45,2.0,Alipore,750.0
0.75,4.0,Alipore,1200.0
0.5,2.0,Amtala,9720.0
0.5,2.0,Amtala,9720.0
0.8,2.0,Amtala,1440.0
